_id,algoname,clientID,symbol,realised,unrealised,sum,balance
655d75dc0bc4ecf4b936e2a5,Rfut,B1700057,BANKNIFTY23NOVFUT,-6414,0,-6414,5000000
655d75dc0bc4ecf4b936e2a6,Rfut,D9550016,BANKNIFTY23NOVFUT,-6522.75,0,-6522.75,1600000
655d75dc0bc4ecf4b936e2a7,NiftyFUT,D9550016,NIFTY23NOVFUT,0,13872.5,13872.5,1600000
655d75dc0bc4ecf4b936e2a8,NiftyFUT,D8460002,NIFTY23NOVFUT,0,27715,27715,2700000
655d75dc0bc4ecf4b936e2a9,NiftyFUT,B1700057,NIFTY23NOVFUT,0,41534.5,41534.5,5000000
655d75dc0bc4ecf4b936e2aa,NiftyFUT,D7730022,NIFTY23NOVFUT,0,27615,27615,650000
655d75dc0bc4ecf4b936e2ab,zMarginManager_D9550016,D9550016,BANKNIFTY22NOV2341400PE,0,-279,-279,1600000
655d75dc0bc4ecf4b936e2ac,DRB_N,D7730022,NIFTY23NOV2319700PE,3687.5,0,3687.5,650000
655d75dc0bc4ecf4b936e2ad,DRB_N,D8460002,NIFTY23NOV2319700PE,3687.5,0,3687.5,2700000
655d75dc0bc4ecf4b936e2ae,DRB_N,D9550016,NIFTY23NOV2319700PE,3665,0,3665,1600000
655d75dc0bc4ecf4b936e2af,DRBS_N,B1700057,NIFTY23NOV2319700PE,0,547.5,547.5,5000000
655d75dc0bc4ecf4b936e2b0,DRB_N,D7730022,NIFTY23NOV2319850CE,3042.5,0,3042.5,650000
655d75dc0bc4ecf4b936e2b1,DRB_N,D9550016,NIFTY23NOV2319850CE,3037.5,0,3037.5,1600000
655d75dc0bc4ecf4b936e2b2,DRB_N,D8460002,NIFTY23NOV2319850CE,3030,0,3030,2700000
655d75dd0bc4ecf4b936e2b3,DRBS_N,B1700057,NIFTY23NOV2319800CE,0,3685,3685,5000000
655d75dd0bc4ecf4b936e2b4,MagicPair,D9550012,NIFTY23NOV2319750PE,0,-347.5,-347.5,3000000
655d75dd0bc4ecf4b936e2b5,MagicPair,D7730022,NIFTY23NOV2319750PE,0,-347.5,-347.5,650000
655d75dd0bc4ecf4b936e2b6,MagicPair,B1700057,NIFTY23NOV2319750PE,0,-350,-350,5000000
655d75dd0bc4ecf4b936e2b7,MagicPair,D9550012,NIFTY23NOV2319750CE,0,6070,6070,3000000
655d75dd0bc4ecf4b936e2b8,MagicPair,D7730022,NIFTY23NOV2319750CE,0,6077.5,6077.5,650000
655d75dd0bc4ecf4b936e2b9,MagicPair,B1700057,NIFTY23NOV2319750CE,0,6087.5,6087.5,5000000
655d75dd0bc4ecf4b936e2ba,DRB_N,D9550016,NIFTY23NOV2319750PE,0,-655,-655,1600000
655d75dd0bc4ecf4b936e2bb,DRB_N,D7730022,NIFTY23NOV2319750PE,0,-647.5,-647.5,650000
655d75dd0bc4ecf4b936e2bc,DRB_N,D8460002,NIFTY23NOV2319750PE,0,-635,-635,2700000
655d75dd0bc4ecf4b936e2bd,DRBS_N,B1700057,NIFTY23NOV2319750PE,392.5,0,392.5,5000000
655d75dd0bc4ecf4b936e2be,DRBS_BN,B1700057,BANKNIFTY22NOV2343600CE,16137,0,16137,5000000
